id,type,x,y,z,r,pid,dist
1,1,609.0301,471.6209,28.3181,7.6019,-1,0.0
2,3,614.6723,473.4467,21.868,0.1575,1,0.0
3,3,614.8211,472.4251,21.1271,0.213,2,1.61474081
4,3,615.0304,471.3394,20.8468,0.202,3,2.91585988
5,3,615.7637,470.5764,20.6315,0.171,4,4.08211186
6,3,616.751,470.057,20.3773,0.1559,5,5.39126715
7,3,617.7303,469.5411,20.0567,0.1595,6,6.71923281
8,3,618.7713,469.1212,19.7246,0.184,7,8.08952023
9,3,619.8718,468.9565,19.4107,0.1977,8,9.42627978
10,3,620.9975,469.08,19.124,0.1955,9,10.79092941
11,3,621.9413,469.6154,18.9496,0.2273,10,11.99875637
12,3,622.813,470.3362,18.8703,0.2303,11,13.28445839
13,3,623.8038,470.8796,18.7902,0.2158,12,14.5678426
14,3,624.8631,471.2388,18.6497,0.1876,13,15.83872398
15,3,625.9465,471.5671,18.4974,0.163,14,17.14345572
16,3,627.0241,471.9492,18.368,0.1548,15,18.46742225
17,3,628.056,472.4388,18.258,0.1595,16,19.78404802
18,3,629.0536,472.9994,18.1723,0.1858,17,21.10087063
19,3,630.0557,473.5416,18.1362,0.1912,18,22.40035909
20,3,631.1219,473.9031,18.1625,0.1953,19,23.66851547
21,3,632.2373,474.0496,18.1418,0.1775,20,24.93452337
22,3,633.2852,474.379,18.0174,0.1555,21,26.1565975
23,3,634.2153,474.9648,17.8125,0.1419,22,27.40682916
24,3,635.1591,475.5883,17.6198,0.1393,23,28.72347314
25,3,635.738,476.5206,17.5459,0.1412,24,29.93324285
26,3,636.1944,477.5353,17.6109,0.1446,25,31.1753849
27,3,636.8637,478.4059,17.7937,0.1514,26,32.41470759
28,3,637.605,479.2559,18.0085,0.1612,27,33.73287232
29,3,638.5316,479.8085,18.0446,0.194,28,34.89812985
30,3,639.6161,479.9332,17.9175,0.1866,29,36.1059746
31,3,640.7292,479.9423,17.8528,0.1832,30,37.34923511
32,3,641.8458,479.9446,17.6798,0.2076,31,38.62596496
33,3,642.9669,480.1116,17.4706,0.22,32,39.95448381
34,3,643.8157,480.798,17.4205,0.1875,33,41.14860022
35,3,644.6451,481.5714,17.3393,0.1642,34,42.44124558
36,3,645.4951,482.3093,17.1976,0.1605,35,43.72832088
37,3,646.4515,482.9373,17.0727,0.1928,36,45.05300585
38,3,647.4274,483.5333,16.9632,0.1793,37,46.37259291
39,3,648.4123,484.1156,16.8468,0.17,38,47.69524317
40,3,649.466,484.5481,16.695,0.187,39,49.01562635
41,3,650.5528,484.8752,16.5259,0.1679,40,50.33234981
42,3,651.6613,485.0251,16.3159,0.1517,41,51.62769207
43,3,652.7733,485.0411,16.072,0.1403,42,52.92397928
44,3,653.8921,485.1567,15.9908,0.1428,43,54.19564952
45,3,655.0098,485.2745,16.0544,0.1472,44,55.46282461
46,3,656.1252,485.5216,16.1288,0.1567,45,56.77353554
47,3,657.2509,485.7195,16.214,0.1681,46,58.08715948
48,3,658.3777,485.5948,16.3702,0.2203,47,59.39678625
49,3,659.5103,485.5491,16.5614,0.1652,48,60.71821494
50,3,660.5925,485.8957,16.991,0.1144,49,62.1940595
51,3,606.0088,467.1135,37.1823,0.1293,1,0.0
52,3,605.0136,466.8435,36.4437,0.1538,51,1.608853
53,3,603.9645,466.585,36.0954,0.1652,52,2.89759895
54,3,602.8525,466.3184,35.8459,0.2023,53,4.26746876
55,3,601.7406,466.0507,35.6927,0.1931,54,5.5989239
