branch_id,start,end,parent_point,parent_branch
0,2,41,1,-1
1,42,143,15,0
2,144,220,56,1
3,221,234,1,-1
4,235,265,1,-1
5,266,344,255,4
6,345,412,241,4
7,413,482,365,6
8,483,505,1,-1
9,506,579,496,8
10,580,614,490,8
11,615,623,599,10
12,624,655,1,-1
13,656,726,636,12
14,727,741,662,13
15,742,856,633,12
16,857,907,784,15
17,908,975,772,15
18,976,1036,922,17
19,1037,1073,1017,18
20,1074,1152,992,18
21,1153,1231,1083,20
22,1232,1720,1174,21
23,1721,1754,1658,22
24,1755,1831,1741,23
25,1832,1890,1733,23
26,1891,1960,1631,22
27,1961,2077,1901,26
28,2078,2109,1997,27
29,2110,2317,1554,22
30,2318,2341,2215,29
31,2342,2447,2199,29
32,2448,2542,2357,31
33,2543,2600,2351,31
34,2601,2616,1490,22
35,2617,2636,1396,22
36,2637,2655,1370,22
37,2656,2723,1283,22
38,2724,2780,2656,37
39,2781,2824,1266,22
40,2825,2869,1264,22
41,2870,2956,1164,21
42,2957,2997,2913,41
43,2998,3080,760,15
44,3081,3143,757,15
45,3144,3178,3093,44
46,3179,3214,3145,45
47,3215,3293,756,15
48,3294,3319,3224,47
49,3320,3377,748,15
50,3378,3473,1,-1
51,3474,3484,1,-1
52,3485,3530,3477,51
53,3531,3606,3489,52
54,3607,3641,3554,53
55,3642,3723,3536,53
56,3724,3786,1,-1
57,3787,3832,1,-1
58,3833,3904,3806,57
59,3905,3994,3791,57
60,3995,4007,1,-1
